,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine_CC,Power_bhp,Seats,Price_Lakh,Manufacturer
1571,9,71000,Petrol,Manual,First,20.51,998.0,67.04,5.0,2.6,Maruti
1572,6,32000,Diesel,Manual,First,22.32,1582.0,126.3,5.0,4.3,Hyundai
1573,3,19234,CNG,Manual,First,17.5,1373.0,80.46,7.0,8.35,Maruti
1574,3,50510,Diesel,Automatic,First,17.06,1968.0,141.0,5.0,24.9,Volkswagen
1575,9,102000,Diesel,Automatic,First,15.06,1995.0,177.0,5.0,13.75,BMW
1576,6,42277,Diesel,Manual,First,24.0,1186.0,73.97,5.0,3.85,Hyundai
1577,6,46000,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,23.25,Mercedes-Benz
1578,8,35000,Diesel,Manual,First,13.6,2523.0,113.25304969366827,7.0,7.0,Mahindra
1579,5,50000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75,Hyundai
1580,12,62000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,1.65,Hyundai
1581,8,78000,Diesel,Manual,First,19.33,1968.0,138.1,5.0,6.5,Volkswagen
1582,9,79000,Diesel,Manual,First,17.67,1968.0,138.08,5.0,7.5,Skoda
1583,1,6773,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,72.94,Audi
1584,10,135000,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,11.0,Toyota
1585,7,36716,Petrol,Manual,First,18.9,1061.0,67.0,5.0,3.02,Maruti
1586,7,65060,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.32,Hyundai
1587,7,33000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.24,Honda
1588,5,11110,Petrol,Manual,First,22.74,796.0,47.3,5.0,2.35,Maruti
1589,7,63000,Diesel,Manual,First,15.96,2523.0,62.1,7.0,5.5,Mahindra
1590,5,27030,Petrol,Manual,First,17.8,1497.0,117.3,5.0,6.75,Honda
1591,5,19600,Petrol,Manual,First,15.0,1598.0,103.52,5.0,6.15,Skoda
1592,4,27755,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.45,Maruti
1593,7,20000,Petrol,Manual,Second,21.1,814.0,55.2,5.0,2.3,Hyundai
1594,5,24782,Petrol,Manual,First,20.85,1197.0,83.14,5.0,6.21,Maruti
1595,6,47303,Petrol,Automatic,First,19.34,1198.0,76.0,5.0,5.21,Nissan
1596,12,71000,Petrol,Automatic,First,8.3,4134.0,250.0,7.0,11.99,Audi
1597,10,135000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.1,Maruti
1598,3,1000,Diesel,Manual,First,13.49,2179.0,138.03,5.0,7.5,Tata
1599,4,29000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,4.0,Volkswagen
1600,4,36367,Petrol,Manual,First,17.8,1497.0,117.3,5.0,7.73,Honda
1601,5,38000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,7.8,Honda
1602,9,83969,Petrol,Manual,First,16.1,796.0,37.0,4.0,1.3,Maruti
1603,6,82621,Diesel,Manual,First,20.14,1498.0,88.8,5.0,4.42,Volkswagen
1604,11,89000,Diesel,Automatic,First,12.5,1991.0,147.9,7.0,4.0,Chevrolet
1605,4,54000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,13.0,Mahindra
1606,5,61691,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.38,Honda
1607,9,32200,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,3.25,Hyundai
1608,4,68630,Petrol,Automatic,First,20.51,998.0,67.0,5.0,3.87,Maruti
1609,6,61000,Diesel,Automatic,Second,16.96,1968.0,138.03,5.0,8.25,Volkswagen
1610,2,32644,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.28,Maruti
1611,8,85000,Diesel,Automatic,First,11.79,2179.0,120.0,7.0,6.25,Mahindra
1612,12,75000,Petrol,Manual,Second,15.26,1150.0,74.9,5.0,1.15,Chevrolet
1613,4,40347,Petrol,Manual,First,20.73,1373.0,91.2,5.0,7.8,Maruti
1614,8,60788,Diesel,Manual,First,23.0,1396.0,90.0,5.0,4.5,Hyundai
1615,2,18664,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7.56,Honda
1616,3,57847,Diesel,Manual,First,16.0,2179.0,140.0,7.0,16.08,Mahindra
1617,8,52237,Petrol,Manual,First,17.0,1197.0,80.0,5.0,4.5,Hyundai
1618,8,128000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.0,Hyundai
1619,9,54000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,2.2,Hyundai
1620,6,49800,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.0,Maruti
1621,8,98000,Diesel,Manual,First,20.86,1199.0,73.9,5.0,2.51,Skoda
1622,5,60095,Diesel,Manual,First,25.2,1248.0,74.0,5.0,4.75,Maruti
1623,12,68000,Petrol,Manual,Second,16.0,1086.0,66.7,5.0,2.0,Hyundai
1624,10,81402,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,2.1,Hyundai
1625,7,38000,Petrol,Automatic,First,16.5,1499.0,110.0,5.0,6.25,Ford
1626,9,92239,Diesel,Automatic,Second,11.5,2987.0,210.0,5.0,10.6,Mercedes-Benz
1627,3,49224,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.0,Maruti
1628,16,12000,Petrol,Manual,Second,16.1,796.0,37.0,4.0,0.45,Maruti
1629,10,54898,Petrol,Manual,Third,16.1,1298.0,88.2,5.0,2.5,Maruti
1630,2,2500,Petrol,Manual,First,15.29,1591.0,121.3,5.0,12.75,Hyundai
1631,3,32838,Diesel,Automatic,First,17.05,1995.0,190.0,5.0,30.29,BMW
1632,14,27076,Petrol,Manual,First,13.8,1299.0,70.0,5.0,1.6,Ford
1633,3,75445,Diesel,Manual,First,22.7,1498.0,89.84,5.0,7.54,Ford
1634,5,46601,Petrol,Manual,First,20.73,1373.0,91.1,5.0,6.84,Maruti
1635,8,72000,Diesel,Automatic,First,18.33,1968.0,167.7,5.0,6.0,Volkswagen
1636,3,27000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,8.0,Honda
1637,4,68193,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,24.74,Audi
1638,3,34429,Diesel,Manual,First,24.0,1120.0,70.0,5.0,5.5,Hyundai
1639,7,46000,Diesel,Automatic,First,12.0,2987.0,224.0,7.0,36.0,Mercedes-Benz
1640,7,80544,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.79,Toyota
1641,9,42000,Petrol,Manual,Second,16.95,1498.0,97.7,5.0,3.0,Nissan
1642,9,94821,Diesel,Automatic,Second,20.0,1968.0,138.1,5.0,6.75,Skoda
1643,14,100000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,1.4,Chevrolet
1644,6,57000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,5.75,Honda
1645,10,79894,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.4,Maruti
1646,9,44748,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,4.89,Volkswagen
1647,7,31000,Petrol,Manual,First,13.24,1598.0,102.5,5.0,4.95,Nissan
1648,7,60587,Petrol,Automatic,Second,16.98,998.0,66.1,5.0,3.49,Maruti
1649,9,32000,Diesel,Manual,First,23.59,1364.0,113.25304969366827,5.0,3.85,Toyota
1650,6,43772,Petrol,Manual,First,17.0,1497.0,118.0,5.0,6.35,Honda
1651,3,23576,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,7.08,Hyundai
1652,3,4000,Diesel,Automatic,First,13.6,1999.0,177.0,5.0,38.0,Jaguar
1653,8,62000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,6.25,Mahindra
1654,9,36000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.15,Mercedes-Benz
1655,6,80000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,10.75,Skoda
1656,8,137008,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,4.65,Chevrolet
1657,10,61001,Diesel,Manual,First,12.05,2179.0,120.0,8.0,4.75,Mahindra
1658,5,52191,Petrol,Manual,First,17.1,1591.0,121.3,5.0,7.78,Hyundai
1659,4,77076,Diesel,Manual,First,23.0,1396.0,90.0,5.0,6.75,Hyundai
1660,12,56000,Petrol,Automatic,First,16.4,1497.0,78.0,5.0,2.99,Honda
1661,7,21000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.35,Hyundai
1662,7,89429,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.65,Honda
1663,8,45631,Petrol,Manual,Second,22.5,998.0,67.04,5.0,2.74,Maruti
1664,7,53959,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.5,Honda
1665,6,55804,Petrol,Manual,First,17.0,1197.0,80.0,5.0,4.76,Hyundai
1666,4,25899,Petrol,Manual,First,15.04,1598.0,103.2,5.0,6.2,Volkswagen
1667,12,82000,Diesel,Manual,Second,18.7,1896.0,66.0,5.0,2.35,Skoda
1668,6,52000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,24.5,Mercedes-Benz
1669,7,20000,Petrol,Manual,First,13.24,1598.0,102.57,5.0,6.0,Renault
1670,3,31829,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.65,Hyundai
1671,4,18094,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,6.26,Maruti
1672,9,80000,Diesel,Manual,Second,19.5,1461.0,113.25304969366827,5.0,2.1,Nissan
1673,5,11964,Diesel,Automatic,First,13.22,2967.0,241.4,5.0,32.95,Audi
1674,2,22684,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7.8,Hyundai
1675,6,43521,Petrol,Manual,First,19.4,1198.0,86.8,5.0,4.25,Honda
1676,6,49386,Petrol,Manual,First,17.5,1298.0,85.8,5.0,4.86,Maruti
1677,3,12248,Petrol,Manual,First,18.9,1197.0,81.86,5.0,4.9,Hyundai
1678,6,67771,Diesel,Manual,First,11.68,2498.0,112.0,8.0,7.06,Mahindra
1679,5,60007,Petrol,Automatic,First,17.21,1798.0,189.0,4.0,4.5,Volkswagen
1680,9,48624,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.22,Maruti
1681,6,30000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.25,Volkswagen
1682,4,81605,Petrol,Manual,First,18.9,1197.0,82.0,5.0,4.53,Hyundai
1683,3,32642,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,34.78,Mercedes-Benz
1684,6,34200,Petrol,Automatic,First,15.74,1591.0,121.3,5.0,6.5,Hyundai
1685,10,72204,Petrol,Manual,First,15.7,1172.0,67.0,5.0,2.25,Fiat
1686,9,156347,Diesel,Manual,Second,12.99,2494.0,100.0,8.0,8.0,Toyota
1687,3,47357,Diesel,Automatic,First,18.49,1493.0,100.0,7.0,8.37,Mahindra
1688,5,61738,Diesel,Manual,First,20.14,1498.0,88.8,5.0,5.39,Volkswagen
1689,2,32586,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,37.3,BMW
1690,2,40129,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,70.8,Mercedes-Benz
1691,8,51000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,22.25,Mercedes-Benz
1692,2,10393,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.03,Hyundai
1693,9,46000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,4.9,Skoda
1694,7,21000,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.96,Hyundai
1695,9,113562,Diesel,Manual,First,23.0,1396.0,90.0,5.0,4.6,Hyundai
1696,9,100010,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,5.5,Mahindra
1697,7,63107,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.25,Honda
1698,3,58500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.25,Hyundai
1699,13,90000,Diesel,Manual,Fourth & Above,10.9,2499.0,143.0,7.0,3.0,Ford
1700,9,108242,Diesel,Manual,First,16.8,1493.0,110.0,5.0,4.25,Hyundai
1701,9,146300,Diesel,Manual,First,11.5,2982.0,171.0,7.0,12.25,Toyota
1702,9,62943,Diesel,Automatic,Second,17.05,1995.0,184.0,5.0,10.95,BMW
1703,7,65000,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,16.5,Toyota
1704,2,1700,Petrol,Automatic,First,19.0,1199.0,88.76,5.0,7.8,Honda
1705,7,34697,Petrol,Manual,First,19.81,1086.0,68.05,5.0,3.7,Hyundai
1706,8,58000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,4.0,Hyundai
1707,5,32500,Diesel,Automatic,First,19.59,1995.0,187.74,5.0,26.75,BMW
1708,4,58661,Diesel,Automatic,First,15.17,1968.0,181.0,5.0,28.03,Audi
1709,3,37124,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.44,Maruti
1710,3,44000,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,6.2,Maruti
1711,15,45200,Petrol,Manual,First,13.2,1495.0,94.0,5.0,0.9,Hyundai
1712,4,11000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.95,Maruti
1713,9,65000,Petrol,Manual,Second,26.0,624.0,35.0,4.0,0.44,Tata
1714,8,55005,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,Ford
1715,9,81650,Diesel,Automatic,First,18.33,1968.0,167.7,5.0,7.5,Volkswagen
1716,10,160000,Diesel,Manual,Second,19.0,1248.0,93.0,5.0,2.5,Fiat
1717,5,169000,Diesel,Manual,First,14.95,2489.0,93.7,7.0,5.0,Mahindra
1718,7,67263,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.6,Maruti
1719,8,44223,Petrol,Manual,First,17.6,1496.0,88.7,5.0,3.99,Toyota
1720,5,36840,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.64,Hyundai
1721,6,160000,Diesel,Manual,First,12.99,2494.0,100.0,8.0,12.0,Toyota
1722,12,133000,Diesel,Manual,First,16.8,1405.0,62.0,5.0,0.7,Tata
1723,5,69123,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,19.0,BMW
1724,3,38000,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,30.48,Ford
1725,3,5500,Petrol,Manual,First,21.56,1462.0,103.25,5.0,8.2,Maruti
1726,5,1001,Diesel,Manual,First,25.83,1498.0,99.0,5.0,7.55,Ford
1727,13,59000,Petrol,Manual,Third,15.26,1150.0,74.9,5.0,0.99,Chevrolet
1728,9,78256,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,4.15,Honda
1729,4,90000,Petrol,Manual,First,16.95,1498.0,97.6,5.0,6.2,Nissan
1730,4,18000,Petrol,Manual,First,19.1,1197.0,85.8,5.0,4.4,Maruti
1731,8,60000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.1,Ford
1732,9,130000,Diesel,Manual,First,20.3,1248.0,75.0,5.0,2.2,Fiat
1733,2,32851,Petrol,Manual,First,18.6,1197.0,81.86,5.0,8.34,Hyundai
1734,6,32000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.35,Maruti
1735,6,62700,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.8,Ford
1736,10,71000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,3.3,Maruti
1737,4,19947,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.04,Hyundai
1738,8,91000,Diesel,Automatic,First,11.4,2953.0,153.86,7.0,9.2,Ford
1739,6,74000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.7,Volkswagen
1740,2,55594,Diesel,Manual,First,18.49,1493.0,100.0,7.0,8.48,Mahindra
1741,7,58000,Diesel,Automatic,First,11.2,2993.0,306.0,4.0,48.0,BMW
1742,8,110224,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6.1,Renault
1743,10,21002,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.75,Maruti
1744,3,121000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.0,Maruti
1745,10,73513,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.85,Maruti
1746,5,34000,Petrol,Automatic,First,20.51,998.0,67.0,5.0,3.85,Maruti
1747,3,28371,Petrol,Manual,First,15.1,1196.0,73.0,7.0,4.74,Maruti
1748,7,74755,Diesel,Manual,First,19.6,1461.0,108.45,5.0,5.63,Renault
1749,9,25805,Petrol,Manual,First,18.2,1061.0,64.0,5.0,2.62,Maruti
1750,5,82603,Petrol,Manual,First,13.06,1598.0,102.53,5.0,4.9,Renault
1751,14,110000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,2.65,Honda
1752,8,88000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,5.99,Mahindra
1753,9,110000,Diesel,Manual,Second,21.0,1461.0,64.1,5.0,2.4,Mahindra
1754,3,15000,Petrol,Manual,First,21.7,999.0,67.0,5.0,4.25,Renault
1755,7,70000,Diesel,Automatic,First,15.15,2967.0,240.0,5.0,40.0,Porsche
1756,12,150000,Diesel,Manual,Second,28.4,1248.0,74.0,5.0,2.7,Maruti
1757,4,19000,Petrol,Manual,First,20.63,1198.0,67.0,5.0,2.99,Datsun
1758,9,37442,Petrol,Manual,First,18.5,1197.0,80.0,5.0,3.4,Hyundai
1759,4,63111,Diesel,Automatic,Second,18.12,1995.0,190.0,5.0,30.8,BMW
1760,8,88000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.85,Maruti
1761,6,42355,Petrol,Manual,First,18.9,1197.0,82.0,5.0,4.0,Hyundai
1762,9,75871,Petrol,Automatic,First,9.43,2996.0,254.0,5.0,14.12,BMW
1763,9,65000,Diesel,Manual,First,17.9,1998.0,163.7,5.0,4.55,Chevrolet
1764,5,69000,Diesel,Automatic,First,0.0,2987.0,165.0,5.0,38.0,Mercedes-Benz
1765,9,79232,Diesel,Manual,First,21.1,1248.0,73.9,5.0,2.9,Maruti
1766,13,220000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,6.0,Mercedes-Benz
1767,4,28470,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.95,Hyundai
1768,6,9759,Petrol,Manual,First,20.3,998.0,68.05,5.0,2.75,Hyundai
1769,6,75216,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.1,Maruti
1770,3,8000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.75,Hyundai
1771,6,59451,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.69,Maruti
1772,7,53996,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.45,Maruti
1773,2,15135,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.29,Honda
1774,5,53000,Petrol,Automatic,Second,16.9,1197.0,81.86,5.0,4.0,Hyundai
1775,7,40000,Petrol,Manual,First,18.0,1198.0,86.7,5.0,2.9,Honda
1776,7,21107,Petrol,Manual,First,17.1,1591.0,121.3,5.0,5.25,Hyundai
1777,6,56000,Petrol,Manual,First,16.8,1497.0,116.3,5.0,5.75,Honda
1778,3,19623,Petrol,Manual,First,15.29,1591.0,121.3,5.0,13.12,Hyundai
1779,6,70963,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.83,Mahindra
1780,7,25755,CNG,Manual,First,26.6,998.0,58.16,5.0,3.15,Maruti
1781,7,51450,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.4,Toyota
1782,8,75000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.35,Maruti
1783,3,37832,Petrol,Automatic,First,22.5,998.0,67.0,5.0,5.23,Maruti
1784,4,43041,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.01,Hyundai
1785,6,97236,Diesel,Manual,First,25.8,1498.0,98.6,5.0,4.4,Honda
1786,10,83000,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,12.75,BMW
1787,9,65000,Petrol,Manual,First,15.6,1196.0,70.0,5.0,2.4,Ford
1788,2,46007,Petrol,Manual,First,17.0,1198.0,73.75,5.0,5.71,Volkswagen
1789,5,65925,Diesel,Manual,Second,22.7,1498.0,89.84,5.0,5.49,Ford
1790,16,73500,Petrol,Manual,Second,13.0,1343.0,90.0,5.0,1.3,Honda
1791,6,55000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,8.5,Mahindra
1792,8,115000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,12.99,Toyota
1793,3,31184,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.0,Hyundai
1794,3,41747,Diesel,Automatic,First,28.4,1248.0,73.75,5.0,9.0,Maruti
1795,4,38143,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.22,Maruti
1796,8,19030,Petrol,Manual,First,16.47,1198.0,73.9,5.0,3.8,Volkswagen
1797,1,20877,Petrol,Manual,First,18.16,1197.0,78.9,5.0,7.27,Toyota
1798,4,23555,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.1,Maruti
1799,7,29000,Diesel,Automatic,First,14.21,2143.0,203.0,5.0,29.0,Mercedes-Benz
1800,7,61000,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.9,Maruti
1801,8,4187,Petrol,Manual,First,26.0,624.0,35.0,4.0,1.38,Tata
1802,9,46000,Petrol,Manual,First,13.4,1798.0,157.8,5.0,5.5,Skoda
1803,4,28000,Petrol,Automatic,First,17.21,1197.0,103.5,5.0,7.25,Volkswagen
1804,6,83558,Diesel,Manual,First,22.32,1582.0,126.32,5.0,6.98,Hyundai
1805,3,40000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,5.25,Tata
1806,7,36000,Petrol,Manual,First,21.1,814.0,55.2,5.0,1.95,Hyundai
1807,6,21000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,24.5,Audi
1808,7,62162,Diesel,Manual,First,12.99,2494.0,100.0,7.0,8.31,Toyota
1809,8,83000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,36.0,Mercedes-Benz
1810,5,58000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,5.5,Hyundai
1811,9,62332,Petrol,Automatic,First,11.7,2354.0,177.6,5.0,5.89,Honda
1812,4,50867,Diesel,Manual,First,20.34,1498.0,103.2,5.0,7.95,Volkswagen
1813,10,73000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,2.75,Hyundai
1814,8,98008,Diesel,Manual,First,22.7,1582.0,126.24,5.0,6.25,Hyundai
1815,5,36000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,4.95,Ford
1816,1,27339,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.27,Hyundai
1817,3,25000,Diesel,Manual,First,23.9,1582.0,126.2,5.0,8.65,Hyundai
1818,6,37000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,3.5,Hyundai
1819,5,56000,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,35.0,Audi
1820,5,27000,Petrol,Manual,First,17.5,1298.0,85.8,5.0,4.45,Maruti
1821,8,37000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,2.65,Hyundai
1822,3,10500,Diesel,Manual,First,25.32,1198.0,77.0,5.0,4.7,Mahindra
1823,6,49000,Diesel,Automatic,First,18.23,1582.0,126.2,5.0,8.9,Hyundai
1824,3,7000,Diesel,Manual,First,17.1,1956.0,170.0,5.0,17.45,Jeep
1825,3,71256,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.58,Maruti
1826,8,83184,Petrol,Manual,First,14.28,1798.0,138.03,5.0,6.22,Toyota
1827,7,87284,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.8,Mahindra
1828,4,7000,Diesel,Automatic,First,20.68,1995.0,190.0,5.0,27.75,BMW
1829,5,29000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,7.0,Hyundai
1830,3,33552,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,64.87,Mercedes-Benz
1831,7,64000,Diesel,Manual,Second,17.3,1998.0,163.7,5.0,6.5,Chevrolet
1832,9,82000,Petrol,Manual,Second,18.5,1197.0,80.0,5.0,2.7,Hyundai
1833,8,70000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,2.5,Honda
1834,7,166194,Diesel,Manual,First,19.3,1461.0,84.8,7.0,3.9,Nissan
1835,5,58000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,3.95,Volkswagen
1836,10,77000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,2.1,Hyundai
1837,11,73204,Diesel,Automatic,Third,18.1,1991.0,147.9,4.0,3.5,Chevrolet
1838,13,70000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.0,Hyundai
1839,6,79870,Diesel,Manual,First,20.77,1248.0,88.76,7.0,5.35,Maruti
1840,7,90000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.8,Honda
1841,4,17000,Petrol,Automatic,First,15.5,1595.0,122.0,5.0,17.25,Mercedes-Benz
1842,2,46493,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.53,Hyundai
1843,11,68000,Petrol,Manual,Third,20.36,1197.0,78.9,5.0,1.95,Hyundai
1844,3,2000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,8.2,Maruti
1845,21,140000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,0.9,Honda
1846,7,255000,Diesel,Manual,Third,12.99,2494.0,100.6,7.0,6.5,Toyota
1847,6,45535,Diesel,Automatic,First,23.8,1998.0,112.0,5.0,19.41,Mini
1848,4,39228,Petrol,Manual,First,15.7,1368.0,112.4,5.0,6.58,Fiat
1849,9,57000,Petrol,Manual,Second,14.49,1399.0,92.7,5.0,2.1,Chevrolet
1850,12,85445,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.0,Hyundai
1851,5,54000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.7,Hyundai
1852,6,53000,Petrol,Automatic,First,23.1,998.0,67.04,5.0,3.8,Maruti
1853,6,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.25,Hyundai
1854,5,65668,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.53,Renault
1855,9,100000,Diesel,Automatic,Second,22.69,1995.0,190.0,5.0,10.9,BMW
1856,2,1800,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.1,Hyundai
1857,13,96000,Petrol,Manual,Second,0.0,999.0,113.25304969366827,5.0,2.2,Hyundai
1858,11,44200,Petrol,Manual,Second,18.0,995.0,62.0,5.0,1.6,Chevrolet
1859,2,14000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,11.25,Honda
1860,7,720000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.9,Volkswagen
1861,8,73000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,14.4,Toyota
1862,9,68000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,3.6,Honda
1863,3,19543,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,40.5,BMW
1864,6,38000,Diesel,Automatic,Second,14.16,1968.0,174.3,5.0,38.95,Audi
1865,6,32805,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.6,Maruti
1866,4,44782,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.12,Volkswagen
1867,4,55700,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.52,Honda
1868,8,60000,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,10.35,Audi
1869,6,56000,Petrol,Manual,First,15.0,1598.0,103.52,5.0,7.0,Skoda
1870,9,60000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,10.85,Toyota
1871,10,78563,Diesel,Manual,First,16.52,1991.0,123.7,5.0,2.35,Chevrolet
1872,6,34669,Petrol,Manual,First,15.1,1196.0,73.0,7.0,2.9,Maruti
1873,3,17000,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.65,Maruti
